# ----------------------------------------
# Traffic acquisition: Session source
# Account: Culture Peinture
# Property: culturepeinture.com
# ----------------------------------------
# 
# All Users
# Start date: 20250101
# End date: 20250720
Session source,Sessions,Engaged sessions,Engagement rate,Average engagement time per session,Events per session,Event count,Key events,Session key event rate,Total revenue
{{campaign.name}},17,16,0.9411764705882353,13.352941176470589,6.705882352941177,114,19,0.9411764705882353,0
qwant.com,14,9,0.6428571428571429,144.07142857142858,6.785714285714286,95,0,0,0
deref-gmx.fr,13,6,0.46153846153846156,21.153846153846153,3.6153846153846154,47,0,0,0
en.culturepeinture.l-artquarium.ch,12,3,0.25,19.5,4.583333333333333,55,1,0.08333333333333333,344
Meta-SiteLink-1,11,3,0.2727272727272727,4.909090909090909,3.4545454545454546,38,0,0,0
ch.search.yahoo.com,11,10,0.9090909090909091,129.54545454545453,10.363636363636363,114,0,0,0
mail.google.com,11,4,0.36363636363636365,36.54545454545455,4.636363636363637,51,0,0,0
Meta-SiteLink-3,10,2,0.2,4.2,3.2,32,0,0,0
power.upsales.com,10,8,0.8,16.7,4.4,44,0,0,0
webmail.sfr.fr,9,7,0.7777777777777778,118,4.555555555555555,41,0,0,0
workona.com,9,4,0.4444444444444444,1.3333333333333333,4.222222222222222,38,0,0,0
zimbra.free.fr,9,8,0.8888888888888888,139.77777777777777,6.222222222222222,56,0,0,0
Meta-SiteLink-2,8,3,0.375,50.25,4.5,36,0,0,0
l.instagram.com,8,4,0.5,0.25,4,32,0,0,0
FR-1-Cold-CI-CP-Lead,7,7,1,1.5714285714285714,4.714285714285714,33,7,1,0
fr.search.yahoo.com,7,3,0.42857142857142855,164,4.714285714285714,33,1,0.14285714285714285,0
m365.eu.vadesecure.com,7,3,0.42857142857142855,0.42857142857142855,3,21,0,0,0
openmedias.lightning.force.com,7,4,0.5714285714285714,14.428571428571429,3.142857142857143,22,0,0,0
yahoo,7,7,1,51.714285714285715,8.857142857142858,62,0,0,0
CP_013_CONV(Ventes)_MC6P_IG_INT Peinture,6,6,1,6,6.166666666666667,37,8,1,0
perplexity,6,4,0.6666666666666666,292.6666666666667,14.333333333333334,86,2,0.16666666666666666,0
FR-1-Warm-CP-Lead,5,5,1,3.8,6,30,6,1,0
US-1-Cold-TNT-CP-Lead,5,2,0.4,0,5.6,28,0,0,0
statics.teams.cdn.office.net,5,3,0.6,37,9.2,46,0,0,0
CH-1-Cold-TNT-CP-Lead,4,4,1,4.5,6.25,25,4,1,0
CP_015_CONV(Ventes)_MC6P_IG_LAL Achat 1%,4,3,0.75,0,4.25,17,3,0.75,0
CP_018_CONV(Ventes)_MC6P_INT Peinture - Ads Atelier Reels/Stories,4,4,1,1.75,5.25,21,4,1,0
CP_CONV(Ventes)_MC6P_INT_new people,4,4,1,22.5,5.25,21,4,1,0
EN_CP_003_CONV_Achat_MC6P_Adv+_INT_new people,4,1,0.25,0.5,4.5,18,0,0,0
fr.m.wikipedia.org,4,3,0.75,15.25,4.75,19,0,0,0
messageriepro3.orange.fr,4,2,0.5,133,3.25,13,0,0,0
1-Cold-CI-CP-Lead,3,3,1,9.333333333333334,5.666666666666667,17,3,1,0
1-Cold-LAL-CP-Lead,3,3,1,2,5,15,3,1,0
CP_028_CONV,3,3,1,21.666666666666668,5.333333333333333,16,3,1,0
EN_CP_001_CONV_Achat_MC6P_Adv+_INT_new people,3,0,0,1.6666666666666667,4.333333333333333,13,0,0,0
Meta-SiteLink-4,3,0,0,0,3,9,0,0,0
fr.wikipedia.org,3,2,0.6666666666666666,1285.6666666666667,6.666666666666667,20,0,0,0
lartquarium.statslive.info,3,3,1,138,3.6666666666666665,11,0,0,0
messageriepro.orange.fr,3,2,0.6666666666666666,14.666666666666666,4.333333333333333,13,0,0,0
perplexity.ai,3,1,0.3333333333333333,2.3333333333333335,3,9,0,0,0
CP_CONV(Ventes)_MC6P_INT Peinture,2,2,1,6,5.5,11,2,1,0
