# ----------------------------------------
# Traffic acquisition: Session campaign
# Account: Culture Peinture
# Property: culturepeinture.com
# ----------------------------------------
# 
# All Users
# Start date: 20250101
# End date: 20250720
Session campaign,Sessions,Engaged sessions,Engagement rate,Average engagement time per session,Events per session,Event count,Key events,Session key event rate,Total revenue
3conf01,140,98,0.7,44.84285714285714,4.0285714285714285,564,0,0,0
summer01,122,72,0.5901639344262295,16.352459016393443,4.524590163934426,552,0,0,0
mail09,120,83,0.6916666666666667,83.1,4.8,576,1,0.008333333333333333,0
johns01,112,80,0.7142857142857143,47.00892857142857,5.107142857142857,572,0,0,0
mail03,100,72,0.72,100.7,6.24,624,0,0,0
summer03,93,48,0.5161290322580645,24.698924731182796,4.67741935483871,435,0,0,0
3conf02,90,63,0.7,55.455555555555556,5.222222222222222,470,1,0.011111111111111112,315.776721
3conf03,75,50,0.6666666666666666,50.93333333333333,4.16,312,0,0,0
johns04a,71,41,0.5774647887323944,59.140845070422536,4.774647887323944,339,1,0.014084507042253521,0
johns04b,63,43,0.6825396825396826,77.77777777777777,5.285714285714286,333,0,0,0
mail12,59,35,0.5932203389830508,48.152542372881356,5.6440677966101696,333,6,0.0847457627118644,1028.623036
Vidéo Hasard - Texte 1-3_Group_1,56,54,0.9642857142857143,20.357142857142858,6.375,357,62,0.9464285714285714,0
mail13,56,37,0.6607142857142857,67.01785714285714,6.892857142857143,386,6,0.08928571428571429,1369.478827
mail14b,52,38,0.7307692307692307,72.59615384615384,8.692307692307692,452,12,0.21153846153846154,2655.497902
summer02,51,36,0.7058823529411765,78.27450980392157,5.627450980392157,287,0,0,0
Vidéo Mona Lisa - Texte 1-3_Group_1,47,46,0.9787234042553191,31.085106382978722,6.085106382978723,286,49,0.9787234042553191,0
last05,47,30,0.6382978723404256,53.87234042553192,5.042553191489362,237,0,0,0
mail11,44,33,0.75,154.5681818181818,5.136363636363637,226,0,0,0
3conf05,38,21,0.5526315789473685,16.342105263157894,4,152,0,0,0
last02,31,19,0.6129032258064516,26.516129032258064,4.516129032258065,140,0,0,0
mail14,31,22,0.7096774193548387,67.54838709677419,6.193548387096774,192,1,0.03225806451612903,325.390304
last03,30,21,0.7,135.96666666666667,5.766666666666667,173,0,0,0
masterclassclicks,29,15,0.5172413793103449,22.93103448275862,4.241379310344827,123,0,0,0
last04,28,19,0.6785714285714286,92.57142857142857,5.714285714285714,160,0,0,0
3conf04,27,21,0.7777777777777778,93.74074074074075,4.666666666666667,126,0,0,0
last01,25,14,0.56,61.36,4.48,112,0,0,0
mail1,20,8,0.4,34.6,4.65,93,0,0,0
{{ad.name}},17,16,0.9411764705882353,13.352941176470589,6.705882352941177,114,19,0.9411764705882353,0
Vidéo+Contemporain+Arnaque+-+Texte+1-3,16,16,1,4.625,6.375,102,16,1,0
Vidéo+Hasard+-+Texte+1-3_Group_1,16,16,1,4.0625,6.25,100,16,1,0
Vidéo+Hasard+-+Texte+1-3,15,15,1,5.2,6,90,15,1,0
Vidéo+Mona+Lisa+-+Texte+1-3_Group_1,15,15,1,3.2666666666666666,6.266666666666667,94,15,1,0
F1_Saviez-vous+que+les+grands+peintres,14,14,1,4.071428571428571,6.357142857142857,89,14,1,0
Vidéo+Echecs+-+Texte+1-3,14,14,1,5.5,6.285714285714286,88,14,1,0
A1_Découvrez+6+Principes,13,13,1,4,6.461538461538462,84,13,1,0
C1_En+47+minutes+seulement,13,13,1,3.4615384615384617,6.6923076923076925,87,13,1,0
Vidéo+Mona+Lisa+-+Texte+1-3,13,13,1,5.538461538461538,6.076923076923077,79,13,1,0
E1_Différence+artistes+imposteurs,12,12,1,2.9166666666666665,6.5,78,12,1,0
B1_Peintre+amateur+?,10,10,1,4.4,6.6,66,10,1,0
D1_Mal+à+comprendre+Picasso,10,10,1,3.8,6.7,67,10,1,0
E1_ Difference artists imposters,7,3,0.42857142857142855,0.2857142857142857,5.428571428571429,38,0,0,0
D1_Atelier_Peintre amateur ?,4,4,1,1.75,5.25,21,4,1,0
Vidéo+Contemporain+Arnaque+-+Texte+1-3_Group_1,4,4,1,4.75,6.5,26,4,1,0
D1_Atelier_VOST_Hobby painter?,3,0,0,0,4,12,0,0,0
F1_ Did you know that all great painters,2,0,0,2.5,4.5,9,0,0,0
mail9,2,1,0.5,6,5,10,0,0,0
A2_Mona 2,1,0,0,6,4,4,0,0,0
B1_Atelier_Voiceover_Struggle Understand Picasso ?,1,0,0,0,4,4,0,0,0
D1_Atelier_Voiceover_Hobby painter?,1,1,1,20,9,9,0,0,0
Vidéo Stage Intensif été 2025,1,0,0,0,3,3,0,0,0
mail3,1,0,0,0,4,4,0,0,0
mail8,1,1,1,10,6,6,0,0,0
zA1_Atelier_Voiceover_Did you know that all great painters,1,1,1,5,5,5,0,0,0
zbvy38,1,1,1,28,5,5,0,0,0
